,Author,Number of Publications,Affliation
191,"PALACIOS, NATALIA",10,Harvard
192,"PANDE, ROHINI",0,Harvard
193,"PARKER, KEVIN",75,Harvard
194,"PATEL, CHIRAG",36,Harvard
195,"PAULI, ANDREA",13,Harvard
196,"PAULO, JOAO",73,Harvard
197,"PAULSSON, JOHAN",29,Harvard
198,"PERRIMON, NORBERT",197,Harvard
199,"PETERSON, TIMOTHY",1,Harvard
200,"PRICE, ALKES",75,Harvard
201,"QI, LU",183,Harvard
202,"RAJAN, AKHILA",5,Harvard
203,"RAMANATHAN, SHARAD",15,Harvard
204,"RAPOPORT, TOM",86,Harvard
205,"RECK-PETERSON, SAMARA",20,Harvard
206,"REED, ROBIN",36,Harvard
207,"REEDE, JOAN",11,Harvard
208,"REGEHR, WADE",70,Harvard
209,"RIMM, ERIC",387,Harvard
210,"RINN, JOHN",76,Harvard
211,"RITTER, TOBIAS",59,Harvard
212,"ROBINS, JAMES",63,Harvard
213,"ROSEN, VICKI",36,Harvard
214,"ROWE, MEREDITH",20,Harvard
215,"ROWLEY, CHRISTOPHER",8,Harvard
216,"RUBIN, ERIC",90,Harvard
217,"RUDNER, DAVID",49,Harvard
218,"SABATINI, BERNARDO",81,Harvard
219,"SACKS, FRANK",127,Harvard
220,"SALIC, ADRIAN",20,Harvard
221,"SALOMON, JOSHUA",102,Harvard
222,"SAMUEL, MELANIE",3,Harvard
223,"SANES, JOSHUA",81,Harvard
224,"SANKARARAMAN, SRIRAM",15,Harvard
225,"SCHACTER, DANIEL",145,Harvard
226,"SCHIER, ALEXANDER",69,Harvard
227,"SCHWARTZ, JOEL",407,Harvard
228,"SEAGE, GEORGE",83,Harvard
229,"SEIDMAN, JONATHAN",52,Harvard
230,"SEO, YOUNG",7,Harvard
231,"SHAKHNOVICH, EUGENE",126,Harvard
232,"SHAPIRO, ROGER",58,Harvard
233,"SHARPE, ARLENE",129,Harvard
234,"SHORE, STEPHANIE",74,Harvard
235,"SILVER, PAMELA",165,Harvard
236,"SINCLAIR, DAVID",88,Harvard
237,"SINGH, GITANJALI",20,Harvard
238,"SLIZ, PIOTR",37,Harvard
239,"SMITH, MAURICE",19,Harvard
240,"SOMERVILLE, LEAH",22,Harvard
241,"SORENSEN, GLORIAN",93,Harvard
242,"SORGER, PETER",68,Harvard
243,"SPEALMAN, ROGER",36,Harvard
244,"SPIEGELMAN, DONNA",316,Harvard
245,"STARNBACH, MICHAEL",39,Harvard
246,"STROMINGER, JACK",69,Harvard
247,"STRUHL, KEVIN",88,Harvard
248,"SUBRAMANIAM, ARVIND",3,Harvard
249,"SUN, QI",134,Harvard
