"","Symbol","Date","Open","High","Low","Close","Adj.Close","Volume"
"1803","PG","2018-01-29",87.690002,87.739998,86.690002,86.860001,86.860001,11685800
"1804","PG","2018-01-30",86.82,87.440002,86.629997,86.949997,86.949997,9662900
"1805","PG","2018-01-31",86.809998,87.410004,86.080002,86.339996,86.339996,11798100
"1806","PG","2018-02-01",86.150002,86.5,85.559998,85.849998,85.849998,8606300
"1807","PG","2018-02-02",85.559998,85.610001,84.209999,84.25,84.25,12846300
"1808","PG","2018-02-05",83.989998,84.370003,80.099998,81.059998,81.059998,17462200
"1809","PG","2018-02-06",80.529999,82.449997,80.120003,82.379997,82.379997,19955500
"1810","PG","2018-02-07",82.300003,83.389999,81.82,81.839996,81.839996,11851800
"1811","PG","2018-02-08",82.029999,82.220001,80.150002,80.220001,80.220001,14596100
"1812","PG","2018-02-09",80.980003,81.029999,78.589996,79.919998,79.919998,18838800
"1813","PG","2018-02-12",80.610001,81.669998,80.580002,81.330002,81.330002,10769000
"1814","PG","2018-02-13",81.150002,81.830002,80.910004,81.5,81.5,9278700
"1815","PG","2018-02-14",81.059998,81.260002,80.269997,80.68,80.68,9412000
"1816","PG","2018-02-15",80.970001,82.410004,80.5,82.410004,82.410004,8910700
"1817","PG","2018-02-16",82.209999,83.25,82.129997,82.599998,82.599998,10363000
"1818","PM","2018-01-17",105.080002,106.25,105.080002,105.790001,105.790001,4009400
"1819","PM","2018-01-18",105.459999,105.709999,104.800003,105.07,105.07,4134600
"1820","PM","2018-01-19",105.580002,109.110001,105.540001,108.919998,108.919998,5818900
"1821","PM","2018-01-22",109.150002,109.68,108.459999,108.809998,108.809998,4762300
"1822","PM","2018-01-23",108.5,109.779999,108.400002,109.529999,109.529999,3778100
"1823","PM","2018-01-24",109.559998,110.889999,109.559998,110.599998,110.599998,4404100
"1824","PM","2018-01-25",110.43,111.25,103.019997,107.489998,107.489998,11823700
"1825","PM","2018-01-26",107.360001,110.459999,107.309998,110.190002,110.190002,6000700
"1826","PM","2018-01-29",109.629997,109.699997,108.410004,108.610001,108.610001,3952500
"1827","PM","2018-01-30",108.199997,109.370003,107.75,107.940002,107.940002,4069700
"1828","PM","2018-01-31",108.230003,108.470001,106.739998,107.230003,107.230003,5041600
"1829","PM","2018-02-01",107.040001,107.580002,104.93,105.169998,105.169998,7612900
"1830","PM","2018-02-02",105,105.529999,103.190002,103.440002,103.440002,6421800
"1831","PM","2018-02-05",102.93,103.480003,98.510002,98.690002,98.690002,7901200
